station_name,station_id,capacity,mechanical_bikes,electric_bikes,total_bikes_available,available_docks,latitude,longitude,commune_code,commune_name,is_installed,is_renting,is_returning,updated_at
Parvis Robert Schuman - Roger Salengro,23701,24,7,10,17,6,48.812657470558754,2.1921751275658607,92022,Chaville,True,True,True,2026-03-12T15:37:45+00:00
Navier - Epinettes,17007,54,1,1,2,52,48.89587780769155,2.3226776719093327,75056,Paris,True,True,True,2026-03-12T15:35:05+00:00
Place Carnot,31012,25,4,12,16,6,48.85593932186797,2.441531717777252,93048,Montreuil,True,True,True,2026-03-12T15:30:19+00:00
Anatole France - Jean Lolive,35019,28,14,0,14,14,48.8949922,2.4253764,93055,Pantin,True,True,True,2026-03-12T15:32:04+00:00
Assas - Vaugirard,6030,35,10,4,14,21,48.848274111398,2.3292413726449,75056,Paris,True,True,True,2026-03-12T15:36:45+00:00
Raymond Poincaré - Allée de la Marche,23802,23,1,1,2,20,48.838634069623,2.1724102640451,92033,Garches,True,True,True,2026-03-12T15:37:11+00:00
Gravelle - Route du Bac,12126,51,8,2,10,41,48.824407,2.418455,75056,Paris,True,True,True,2026-03-12T15:37:10+00:00
Ménilmontant - Pelleport,20036,32,0,0,0,30,48.870682633845,2.3989596023316,75056,Paris,True,True,True,2026-03-12T15:35:48+00:00
Lagny - Joffre,41604,31,14,5,19,11,48.84930687084088,2.417949736118317,94067,Saint-Mandé,True,True,True,2026-03-12T15:38:13+00:00
Emeriau - Place de Brazzaville,15029,51,43,3,46,4,48.850785261674964,2.2871585190296173,75056,Paris,True,True,True,2026-03-12T15:35:25+00:00
Petites Ecuries - Faubourg Poissonnière,10005,17,14,0,14,1,48.87397217237368,2.348388757504776,75056,Paris,True,True,True,2026-03-12T15:36:59+00:00
Lamennais - Washington,8102,40,1,15,16,24,48.873529900265,2.303444892168,75056,Paris,True,True,True,2026-03-12T15:38:08+00:00
Place Falguière,15017,23,0,0,0,20,48.83629973941847,2.3104464635252953,75056,Paris,True,True,True,2026-03-12T15:34:21+00:00
Francoeur - Marcadet,18020,20,1,3,4,15,48.89104123261663,2.340014585442034,75056,Paris,True,True,True,2026-03-12T15:30:58+00:00
Henri Chevreau - Couronnes,20136,27,0,0,0,27,48.87033205312931,2.388777695596218,75056,Paris,True,True,True,2026-03-12T15:30:49+00:00
Pascal - Claude Bernard,5026,49,32,1,33,16,48.839061952159746,2.3499782010912895,75056,Paris,True,True,True,2026-03-12T15:38:03+00:00
Grenelle - Dr Finlay,15028,71,47,3,50,19,48.851315406715976,2.2919502854347233,75056,Paris,True,True,True,2026-03-12T15:35:05+00:00
